data_year,data_month,kind,fcc_dir,filename,url,size,sha256,s3_key,staged
2020,5,raw,2020,data-raw-2020-may.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2020/data-raw-2020-may.tar.gz,2690728270,60cfa441de064f861c65dec3a80f69c70da4772ad197b61c11e3adf6daffa29c,fcc-mba/2020/raw/data-raw-2020-may.tar.gz,1
2020,6,raw,2020,data-raw-2020-jun.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2020/data-raw-2020-jun.tar.gz,2737987653,df2753e4032eee75a9148a2f980d5bb6a025b24c85250facc65e3ffdffec8dc4,fcc-mba/2020/raw/data-raw-2020-jun.tar.gz,1
2020,7,raw,2020,data-raw-2020-jul.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2020/data-raw-2020-jul.tar.gz,2556462491,dea0eaecd5f96fcb1af3ba1d22d39f897c9903da6d83ca504415f76853f5b1c9,fcc-mba/2020/raw/data-raw-2020-jul.tar.gz,1
2020,8,raw,2020,data-raw-2020-aug.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2020/data-raw-2020-aug.tar.gz,2149631515,af97d6afba7f342ff3bbf86d952975451fa62b68ee334df428e1911cad5cec13,fcc-mba/2020/raw/data-raw-2020-aug.tar.gz,1
2020,9,raw,2020,data-raw-2020-sep.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2020/data-raw-2020-sep.tar.gz,2253279759,d823c13f0d5455e0796d2160bf570d5477f85826605148315b456cffe43d888c,fcc-mba/2020/raw/data-raw-2020-sep.tar.gz,1
2020,11,raw,2020,data-raw-2020-nov.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2020/data-raw-2020-nov.tar.gz,2272586342,cae14ee7845832926898861f4aa6c98de5ba16fd4e85f5f1493c7c41c378f1f1,fcc-mba/2020/raw/data-raw-2020-nov.tar.gz,1
2020,12,raw,2020,data-raw-2020-dec.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2020/data-raw-2020-dec.tar.gz,2309420374,cb8c61ad12a624ff073b5aca14121513b13afa02690717a833291b3d9cfa6dbd,fcc-mba/2020/raw/data-raw-2020-dec.tar.gz,1
2021,1,raw,2021,data-raw-2021-jan.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2021/data-raw-2021-jan.tar.gz,2221901815,29e7413986b58a2e9bb8cd42d76c98bc24a5c3268b562fd0bad7fd112b7dc97b,fcc-mba/2021/raw/data-raw-2021-jan.tar.gz,1
2021,2,raw,2021,data-raw-2021-feb.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2021/data-raw-2021-feb.tar.gz,2236316669,fe18e15f8e425605dbdaaaad51e52bbea7711aba32058968b2c7fb41a63cd2f7,fcc-mba/2021/raw/data-raw-2021-feb.tar.gz,1
2021,3,raw,2021,data-raw-2021-mar.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2021/data-raw-2021-mar.tar.gz,2438532784,2b019031e74f90e224a0e9a488e94296e09972ce45195f2b2e6159fa78647c7f,fcc-mba/2021/raw/data-raw-2021-mar.tar.gz,1
2021,4,raw,2021,data-raw-2021-apr.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2021/data-raw-2021-apr.tar.gz,3679310043,02af9208fd2eaabf7b3656d9eb63c0f7a0e0f12981904afbc8659545c64c59de,fcc-mba/2021/raw/data-raw-2021-apr.tar.gz,1
2021,5,raw,2021,data-raw-2021-may.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2021/data-raw-2021-may.tar.gz,3448101297,3c9ac8e304371509221738e4d52fdecd7de1b3e323ba9d351d3b314685b9067b,fcc-mba/2021/raw/data-raw-2021-may.tar.gz,1
2021,6,raw,2021,data-raw-2021-jun.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2021/data-raw-2021-jun.tar.gz,3578354932,9fb95bd6b721ed796dac15ec98077cd936d020244fe0522ede8bab0e7df9cb94,fcc-mba/2021/raw/data-raw-2021-jun.tar.gz,1
2021,7,raw,2021,data-raw-2021-jul.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2021/data-raw-2021-jul.tar.gz,3371065197,ba4f5fab8f28786baa5b919c1bb2b8d5305a64379cab698a2e8030be7ce04a55,fcc-mba/2021/raw/data-raw-2021-jul.tar.gz,1
