data_year,data_month,dataset,technology,n_units,rc,tis
2020,7,raw,dsl,871,106,0
2020,7,raw,fiber,667,137,0
2020,7,raw,overall,4356,722,0
2020,8,raw,cable,1089,29,0
2020,8,raw,dsl,992,57,0
2020,8,raw,fiber,691,47,0
2020,8,raw,overall,4562,331,0
2020,9,raw,cable,1189,34,0
2020,9,raw,dsl,1266,95,0
2020,9,raw,fiber,762,76,0
2020,9,raw,overall,5048,414,0
2020,9,validated,cable,1227,43,0
2020,9,validated,dsl,1316,85,0
2020,9,validated,fiber,792,56,0
2020,9,validated,overall,3335,184,0
2020,11,raw,cable,1123,104,0
2020,11,raw,dsl,1210,116,0
2020,11,raw,fiber,723,132,0
2020,11,raw,overall,4910,698,0
2020,12,raw,cable,1048,132,0
2020,12,raw,dsl,1180,123,0
2020,12,raw,fiber,682,145,0
2020,12,raw,overall,4731,758,0
2021,1,raw,cable,971,111,0
2021,1,raw,dsl,1034,95,0
2021,1,raw,fiber,528,99,0
2021,1,raw,overall,4611,653,0
2021,2,raw,cable,981,99,0
2021,2,raw,dsl,1048,103,0
2021,2,raw,fiber,561,109,0
2021,2,raw,overall,4557,637,0
2021,3,raw,cable,895,75,0
2021,3,raw,dsl,1044,88,0
2021,3,raw,fiber,466,65,0
2021,3,raw,overall,4152,501,0
2021,4,raw,cable,0,0,0
2021,4,raw,dsl,0,0,0
2021,4,raw,fiber,0,0,0
2021,4,raw,overall,0,0,0
2021,5,raw,cable,973,79,0
2021,5,raw,dsl,1022,78,0
2021,5,raw,fiber,569,104,0
2021,5,raw,overall,4254,535,0
2021,6,raw,cable,982,85,0
2021,6,raw,dsl,1031,85,0
2021,6,raw,fiber,561,98,0
2021,6,raw,overall,4195,513,0
2021,7,raw,cable,1004,92,0
2021,7,raw,dsl,1029,80,0
2021,7,raw,fiber,582,96,0
2021,7,raw,overall,4173,534,0
2021,8,raw,cable,1112,119,0
2021,8,raw,dsl,1049,68,0
2021,8,raw,fiber,620,105,0
2021,8,raw,overall,4201,564,0
2021,9,raw,cable,1214,107,0
2021,9,raw,dsl,1240,92,0
2021,9,raw,fiber,648,112,0
2021,9,raw,overall,4505,523,0
2021,9,validated,cable,1215,83,0
2021,9,validated,dsl,1295,124,0
2021,9,validated,fiber,705,78,0
2021,9,validated,overall,3216,285,0
2021,10,raw,cable,1167,101,0
2021,10,raw,dsl,1222,95,0
2021,10,raw,fiber,661,113,0
2021,10,raw,overall,4461,490,0
2021,11,raw,cable,1139,83,0
2021,11,raw,dsl,1164,102,0
2021,11,raw,fiber,622,76,0
2021,11,raw,overall,4299,463,0
2021,12,raw,cable,1136,79,0
2021,12,raw,dsl,1135,106,0
2021,12,raw,fiber,646,46,0
2021,12,raw,overall,4286,426,0
2022,1,raw,cable,471,34,0
2022,1,raw,dsl,736,59,0
