data_year,data_month,dataset,n_units,rc,tis,technology
2022,6,raw,253,6,0,fiber
2022,6,raw,3867,433,0,overall
2022,7,raw,478,34,0,cable
2022,7,raw,717,57,0,dsl
2022,7,raw,255,6,0,fiber
2022,7,raw,3727,415,0,overall
2022,8,raw,527,34,0,cable
2022,8,raw,758,62,0,dsl
2022,8,raw,261,6,0,fiber
2022,8,raw,3811,432,0,overall
2022,9,validated,502,23,0,cable
2022,9,validated,1067,101,0,dsl
2022,9,validated,269,4,0,fiber
2022,9,validated,1838,128,0,overall
2022,11,raw,516,56,0,cable
2022,11,raw,996,81,0,dsl
2022,11,raw,260,5,0,fiber
2022,11,raw,3944,514,0,overall
2022,12,raw,523,54,0,cable
2022,12,raw,949,71,0,dsl
2022,12,raw,250,8,0,fiber
2022,12,raw,3856,494,0,overall
2023,1,raw,516,50,0,cable
2023,1,raw,922,81,0,dsl
2023,1,raw,245,8,0,fiber
2023,1,raw,3781,505,0,overall
2023,2,raw,504,64,0,cable
2023,2,raw,882,75,0,dsl
2023,2,raw,240,24,0,fiber
2023,2,raw,3711,525,0,overall
2023,3,raw,0,0,0,cable
2023,3,raw,0,0,0,dsl
2023,3,raw,0,0,0,fiber
2023,3,raw,0,0,0,overall
2023,4,raw,468,33,0,cable
2023,4,raw,850,59,0,dsl
2023,4,raw,240,7,0,fiber
2023,4,raw,3634,409,0,overall
2023,5,raw,429,35,0,cable
2023,5,raw,829,57,0,dsl
2023,5,raw,230,8,0,fiber
2023,5,raw,3388,340,0,overall
2023,6,raw,422,33,0,cable
2023,6,raw,803,60,0,dsl
2023,6,raw,225,15,0,fiber
2023,6,raw,3324,430,0,overall
2023,7,raw,439,31,0,cable
2023,7,raw,773,59,0,dsl
2023,7,raw,224,36,0,fiber
2023,7,raw,3381,504,0,overall
